id,text,timestamp
51,emilie autumn has canceled all eu dates including mera luna   rubbish    ,
52,looking for a new camera   my old one got sand in it and it dosnt work anymore ,
53,wishing the audio on the live feed for the  mitm rally were waaay better     ,
54,my voice is rasping like theres no tomorrow  best not be getting sick again,
55,i got wet in town  and my hair went extremly curly http   tinyurl com mmjmfg,
56, we didn t get it  our theater went straight from previews to the feature  ,
57,grr    volume on laptop not working and i want to watch mcfly dvd on here   ,
58,life wtf point    so upset nw  i was in a 1way friendship  wot kin a do nw   ,
59,oh my goodness     your bio is  teh disturbings    no req   do not want  ,
60, dont  they know you have an addiction you are trying to support    sorry girl ,
61, dont  they know you have an addiction you are trying to support    sorry girl ,
62, nah im not  i wanna go tho  iv wanted to go to the v festival tho tbh ,
63, woman  i feel your pain  think back to last monday  yah that s how i felt  ,
64, i made enough for but u took too long to hit me   and u kno i m greedy  ,
65, md the remaining motivation left is the salary  and that s not good enough  ,
66,seven days   seven days    and i wil have seventeen   and i wil be more old ,
67,my face is feeling fragile  i knew i shouldn t have sat outside all day ,
68, mayy lol she probably will   i don t think she deserves to win though ,
69,going for a jog its still to hot  and waiting for my pizza delivery      ,
70,cleaned out my freezer    most astounding accomplishment of my life sadly ,
71, gee i want one so bad  i may treat myself for my birthday in september ,
72,when did they start putting plastic tops on paper wrapped ice cream treats ,
73,watched the jon  kate plus season premiere   i hope they dont get divorced  ,
74,morning ride was awesome  but still could not find the jacket i wanted  ,
75,we almost  ran over a dog on the freeway today   poor thing hope its safe ,
76,my boo boo didn t come in the morning  now his off at the lake with his buddies,
77,damn it  played games of pool won twice and scratched on the ball twice   2 ,
78, i m really annoyed that i didn t get to see you too   love to all the family x,
79,anyone have slim fit dress pants i can borrow  size  mine ripped  fatty,
80,  the good news is you re over half way through it now  http   myloc me 278v,
81,i m tired  work tomorrow  grauduate school in weeks  i ll miss my class  lt ,
82,is a bit depressed that im not going to be watching the penguins tonight  ,
83,     chicago date for the mest show   its the same as the green day show ,
84,is wondering why someone looked a  quot something quot  up on youtube    ,
85, i had a feeling you would  it was a brilliant show  i miss it terribly  ,
86, he is a real skinny lad for a boxer  bless him though he hates the sea ,
87, what  how do you know he s in vegas now  i m really sorry to hear that  ,
88, ah  well  he sent me an email that destroyed my phone from the inside out  ,
89,cant stop thinking about the family that is about to lose their little boy ,
90, i love tons of old bands  my mate got to see them live   i wanted to go    ,
91, poor you   hope it doesn t last long  nothing worse than being sick  blugh ,
92, http   twitpic com 6a5yd   wow  that really pulls at the heart strings  ,
93,feeling good and sexy the swag is turned on full  but soooo bored      grrrr,
94, yeah i heard earlier he cancelled    quot bigmouth strikes again quot   ,
95,http   bit ly arfso  i miss music videos like this  that made you feel good  ,
96,thought if actually had a night in tonight but now a possible night alone ,
97,no snow  what is it with these dunedin forecasts  so inaccurate so frequently  ,
98,is home    for the summer    i want to go back sooo bad  miss you already  ,
99, i d rather drop you an email than character to blog counter blog this ,
100,what day did stephen mulhurn take the piss out of ant and dec i missed it ,
101,i just recorded just me and audacity fucked up    so now just me is gone ,
102,  i do have weird taste must post some pics of my exes u would love that lol,
103,got sme milk lol  wot shall i do for my art  me myslef and i  im boring lol ,
104, yayy   how long r u gona b here for  and clearly vegas is a no go for me ,
105,watching tv   by myself     while everyone is at the river having fun  ,
106, haha  well yeah this makes her so much nicer  argh i wish i could vote  lol,
107, yours must be diff than here  ours always show bball over anything else ,
108,  good site getting acquainted with it  can t add them to my foxy tunes yet ,
109,something is technically wrong with twitter  guess i ll wait til they fix it ,
110, i saw you today  but i was too late  you left before i could say hello ,
111,why do i think i have fucked up the most precious thing in my life          ,
112,just realized i haven t been outside since 8am  mixing the last soma   ,
113,bored  i need something to do  already finished all of the new anime this week,
114, i was watching the williams sanchez match  missed the federer match earlier  ,
115,on my way to party city again  not looking forward to studying for finals ,
116,lmao   them emptying cash registers to give me the money my dad sent me  ,
117, tell me more about this tatoo   im missing out on all the latest perez news  ,
118,burnt my ear with a straightner now it s all red   please swell back down ,
119, and so it begins again    i ll be at subway if you need me  sigh sigh sigh ,
120,smh    my poor freshly pressed roots  the sun is not my friend right now ,
121,i don t think i m going to sts  i don t know yet but i don t think i will go,
122,unfortunately i don t know the guys name that looks like my celebrity crush ,
123,i dont wanna go to work today  am   till 30 pm today  let me go back to bed  ,
124,just realized that i haven t had anything to eat or drink but some chai tea  ,
125, i really hope it won t suck  horror movies have been kinda crappy lately ,
126,wooooooooow the next week is gonna be long i have like tests      wish me luck,
127,kinda mad lakers and nugs didn t go to game  never got to do my birdman mohawk ,
128,i am so red with sunburn  i wouldnt mind so much if i didnt have strap marks,
129, so nice out  amp  i m stuck indoor working  hope u r having a great day ,
130, lol i recommend you a lot  i have no idea who it might be   amber maybe ,
131,i needa new pics on my twitter it is soo hard to put one on it sucksss ,
132,is soo sun burnt   this is why people in scotland should wear sun cream ,
133,winner by tko me  sorry to see you go down the way you did dr  pepper float ,
134,awake in the middle of the nite  worrying about something  it won t be a good ,
135, constantine  oh bloody hell it is slow  really hard to get the diff out ,
136, yeah me too  diversity all the way  i have feeling susan will win tho ,
137,man  i am so close to beating reverse rebirth and then david gets home   woe ,
138,so many good twitter names are taken by accounts that just sit dormant ,
139, thanks for the huggs  i have been a horrible slacker   so ashamed     ,
140,why does no one tweet at  follow me   i m starting to feel left out now     ,
141,sp2 installed successfully but i didn t gain disk space like everyone else ,
142, what do like and not like     lol lol your guyysssssssss    stomping feet  ,
143, waiit i m tipsy  lol did u say u goino disney tomorrow  we gonna today   ,
144,the old guy tanning in a speedo has made this park a little less adorable ,
145, sb yeah i ve cycled everything  multiple times  modem  router  computer  ,
146, haha they just skimmed over our group  i didn t get to see it though  ,
147,you know it s going to be subo  dammmnnn    stavros flatley should win   ,
148, i should have taken a pic    i ve only just got your message  my bad  ,
149,oh my god  i am so exhausted  we re busy as fuck today  and i miss my fiance ,
150,sulking because i can t find a dress that s nice and or fits me   woe is me ,
151,weiks  i m out of weeds    think i should back with the trad one  samsoe   ,
152,   lol   you wouldnt bluddy sunbathe anyway  one more to show you      ,
153,julian smith to win  diversity second  susan third   im angry at you guys ,
154,wore heels to the mall today    not the smartest thing    my feet kill  ,
155,  amp  u didnt call me  well hit me when u come back n la or if your n atl,
156,i am so depressed at work    i seriously need a woman   i don t need love ,
157, i didn t even know about the fair until i saw tweets going by about it  ,
158,we had a great time at the waterpark   the girls did get sunburned though   ,
159,totally enjoyed drag me to hell   although i m so not in the mood to eat    ,
160, gunn man late for work and didn t get my tenner on diversity sooo pissed ,
161,ex mother in law is coming to visit kids  joy of joys  fuckin  fantastic  ,
162, swan ooo   can you be my girl  i m in dire need a of a mani    laughs ,
163,raspberry sorbet and field of dreams  wishing my boyfriend weren t at work ,
164,i am glad that diversity won but mah  i realy wanted stavros flatley to win ,
165,diversity won ddddddddddddddddddddddd britians got talent is over now though ,
166,i m kinda glad susan boyle left the stage before she revealed any more leg ,
167, omg  did that little kid shaheen win   she was pitchy on memory  alas    ,
168,i m gonna miss it now  plus no more ant and dec for   a long time   bgt,
169,just walked outside  i need to be some where laying a pool working on my tan ,
170,got a wee bit more sunburnt today  gutted i have to work again tomorrow ,
171, i m a great big jb fan  so is  real nick s twitter  please answer me  ,
172,aaw well  well played  well done diversity   i still prefered flawless though  ,
173, v i couldn t enter  cause i didnt have internet i dont know why      i m sorry,
174, i am a little sad our iran s got talent dream will never come to pass ,
175,watching bgt again from the beginning  cos i missed the first half earlier ,
176,had to postpone sitar show until next saturday    not enough confirmed dancers ,
177, twiiter hates me right now  sad face  pretty soon  i will have no face  ,
178, i know  i voted for him twice and tried again near the end  but couldn t ,
179,ran my errands and had to pick out new glasses with a slightly larger frame ,
180,well done diversity       shame about stavros  sure susan will get a contract,
181,am i the only person thats doing nothing at 05pm on a saturday  boohoo  ,
182, not in a corp at the minute  just trying to get my sec status back up from  ,
183,misses the cents ice longan from the school canteen   http   plurk com p x9s9j,
184,yay  diversity deserved it  wish stavros flatly were in the top though ,
185,pool cover finally cleaned  now whats for dinner  probably nothing good ,
186,i honestly thought susan boyle would win britains got talent  shame she didnt ,
187, i m in cardiff  but doing the glee club  the jongleurs here closed down ,
188, yeah ben said no go on buying one  but there are so many awesome ones ,
189,eugh    can t beleive how red my once white skin has become    so painful ,
190,i miss you tunisia   and i miss my family    i want to go in tunisia now       ,
191,bah my boobs don t fit into most of my clothes anymore  time to go shoppping ,
192,i wanted to swim and lay out today   didnt have time  making lasagna now yummy ,
193,cannot believe bgt  lol oh well susan boyle already made a sucess from it lol,
194,family party time  happy 10th bday malea  my rugrats are growing up too fast ,
195,britains got talent is over  i m all out of ridiculous shows to watch  ,
196,it s typical that the only person who makes you feel loved is so far away ,
197,had to put my music on pause               waiting for a bail out       ,
198,  sry lol nice day  but didnt get to go outside  tear  too much work to do,
199,internet down    what is the deal with bgt winner   did not follow the show ,
200, i would have gone too but my sister just bring food  but im down for up,
201,i ve been home alone scince  my mom needs to hurry up  im getting hungry  ,
202,holy shit i think i have sunburn  and my back fucking hurts like hell  shit,
203,enjoying my daughter for the last time before she leaves me this summer   ,
204,just laying on my couch  woke up feel ing like poo had to miss my acting class ,
205, tornado yes  concert w  friends and i may have had a beverage or some   ,
206,just got my june work schedule   so much for getting a car this summer ,
207,    on the way home jst hrs go    going to miss harper s island tonight ,
208,    spsaturday sharepoint saturday sites back up   isa server blue screened ,
209, im totally gonna see  up tonight too  i cant wait  it was sold out last night ,
210, c oh oh teach me teach me      my djembe has been lonely in my closet ,
211, sorry  but for now its the only thing which can make me feel better    ,
212, britain s got talent  susan boyle finishes second  http   bit ly lyjv7,
213,just ate a bj s for becca s grad party  now fran s grad party  then workk  ,
214, yep yep    unfortunately tampa s nbc won t carry it    stanleycup  magic,
215,i m am feeling sore i cant do anything with out some place hurting meyyy ,
216,the show went amazing  all the bands did incredible  can t believe its over ,
217, awe i would totally come meet you since your near my house but im at work ,
218,aww man  why did you have to go and tell me that  you re gonna make me cry ,
219,must   stop  watching netflix on demand  must get out of  bed     help ,
220, still throbbing  eh   insert dirty minded giggle here   sorry to hear that  ,
221, ooh  me too     just woke up lol   don t even feel like drinking my wine now ,
222,why the hell am i seriously sitting at home all by myself on a saturday night ,
223,chilling at tulsa int l airport to see our vocalist fly back to oregon  ,
224,wishing i was a  wordcamp since there s no nyc craigslist bootcamp this year ,
225,i wanna go to six flags  i was supposed to go today but my dad said no ,
226, no   amp  if i was at the lake  i wouldn t have service to twitter haha,
227,lol french fb just changed wall from  babillard  to  mur   i prefere babbilard ,
228,i should ve known better than to get my hopes up  i got totally blown off  ,
229,allergies are killing me    sick sneezing nauseated and a scratchy throat ,
230,i hate sleeping all day on my day off   i feel like ive wasted my day  ,
231, hl  me too   instead i get loud people who scream and smoke in the hallway    ,
232, lol i am a computer tard and dont understand how to download it from myspace ,
233, i m gutted that i m working tomorrow night  i wont get to see the show ,
234,hey  i can t hear anything    otep official live  gt  http   ustre am cyj ,
235,ouch  i have little long cuts all over my legs  they sting  dang grass bush ,
236,i hate doing house cleaning  in san francisco  ca http   loopt us haqmtg t,
237,i m so glad that diversity won  though i am sad stavros flatley didn t ,
238,it s true though innit   fit women only come out when the sun shines   xx,
239,i hate thinking this way but it is really hard not to i even dream of it now ,
240,maddeningly lonely here  actually  i should have stayed with the others  ,
241,going to graduation  very sadd  sittin with jelly  funn  listenin to music ,
242,blue line closed northbound  dont think im making it up to the space afterall ,
243,i wish i could spend this at the mall right now   http   twitpic com 6adt7,
244,hey i m just gonna find another ride there because i m running crazy late  ,
245,  have fun laura i wish i could come but my id won t work i need a new one ,
246,im losing my sanity and ive still got the rest of the night to go  help me,
247,just got back from drag me to hell  was amazing  but  where was bruce  ,
248,so glad diversity won  woop woop   gotta get up at 30 to do a carboot sale ,
249, yeah it s pretty screwed up that this mistake is hurting a lot of fans ,
250, mile race with over ft of climbing  good course  great weather  bike trashed ,
251,just balled my eyes out   saw  quot the notebook quot  for the first time  ,
252,what am i goin to do now bgt is finished   roll on america s got talent ,
253,ok im off to bed  up early to drive down to zeelland   lots of homework ,
254,    i don t know   tried to change it  amp  it just disappeared on me   ,
255,it s very crowded and hot in here  and i m sweaty and too short to see the tv ,
256,just saw the cutest fluffy puppy in the arms of the scariest black man ,
257,i m hungry and the dough isnt rising properly  i believe its retarded  ,
258,i feel down     lt    mary oh so poppingsz    gt  i know you jelly of me    ,
259,its a tradition now for me to cry on my birthday   and not in a good way   ,
260,hurray    its lua time   http   www vatusa net lua     but sea ctr is offline  ,
261,note to self  don t eat fiber one toaster pastries for breakfast while at work ,
262,bbq in at richie s house  too bad i can t eat anything cuz of my stupid diet ,
263,     wanted to say something about disorders  can t direct message though ,
264, i think you win on  livelocal stakes the snails ate all my salad stuff ,
265,just got home from niece s graduation     i ll have another one next year  ,
266, xp i don t know how these people find me either   creepy stalker types ,
267,crying over my poor little lost strawberries  the gardeners cut them down  ,
268,browsing the web  cant find anything to do offline  lol i have no life  ,
269,i really wish neko case and the rx bandits weren t playing on the same night ,
270, i ll wear black today in memory of your hair   no u look like a cholo ,
271,soon beginning to celebrate someones birhtday       rhodey for only two more ,
272, aww i am sooo sorry  toodles dusty and mittens send their nosetaps and licks ,
273, signed my little sisters picture  thanks  oh and it sucks that it rained ,
274,bam  finished that feature  now off to see drag me to hell all by myself  ,
275,had alittle too much drinkies last nite  oh  not looking forward to tempest   ,
276, sorry warren didnt come it so you had to fill in on this amazing day   ,
277, i never had that happen b4 but it took me 4ever to change my background ,
278,foodums  dunno when i ll be back  computer shopping didn t go too well  ,
279, well i still love heather palmer     he s listening to the hokey pokey now  ,
280,i wanted flawless to win  oh well  its all good  makes no diff to my life tbh x,
281, djangodash djangodash com site   gateway time out   nginx    fail  whatup ,
282,is too sick to venture far from home    back in jammies   one of those days  ,
283,aiden davis woz realy realy realy gud on bgt    simon was soooooo mean   ,
284, lucky  its the opposite in sf today   moist and windy which equals frizzy ,
285,i just slept for hours but now i feel even more tired then i did before ,
286,  there are only so many fish jokes in the world  i wish there were more lol,
287, me too the season was soo much fun   no semi finals anymore   aww  xxxxx,
288, do you read your fan s responses to your tweets  or is it a waste of time     ,
289,clearing out my room in oneonta  i m sure i ll be around to visit though ,
290,aww i wanna go see passion pit tonighttt  its only bucks  too bad i can t ,
291,boo  friendfeed is down     off to play spymaster and flikcchart then     ,
292, vanessa rossetto just joined the group but she has yet to play anything ,
293, il tell you later     it was only fun for the officers  i was miserable ,
294, oh no no  it s from the suit  i took the shirt off as soon as it got sunny ,
295, why is everyone eating icecream    pouts  i want ice cream  haha  i m hungry,
296, you should be in clichy man  i miss you  wednesday breakfast  woop woop ,
297,maryceeel   want happend with youu  i don t trust u      i want to cry ,
298,susan boyle lost  im so upset  she deserved to win  but well done diversity,
299, even with sunscreen  one of mine faded in the first year  not done right ,
300,ok i am very tired and want to go to bed but that would involve moving ,
301, i m rying again for u guys   please come to colombia please please i m beg you,
302,i cnt get a picture up on twiter thre all too big  or  it just wont work     ,
303, that movie was sooo good  but sad news  i m not going to the game anymore ,
304,so i guess i m not going over to alexis s house  she won t answer her phone ,
305,gonna snuggle up and watch live at the apollo  but it s too warrrrrrrrrm ,
306, thats good for you some people don t get to spend time with there family ,
307,starting to build me new server  setting up the mirror is taking for ever ,
308, so goood too   i have one little problem    i cant see your pic in twitter ,
309,fuck why is god doing this me i dont wanna feel this way   my life sucks ,
310,the radio edited version of the next episode kinda just ruined my life ,
311, my rain is when no words can get him to understand where i m coming from ,
312, she said she didn t feel bad cause amber was a bitch  but poor wilson ,
313,my mom woudnt let me get a hermit crab   i was going to name it hermie ,
314,just finished the last episode of pushing daisies  i m gonna need a pick me up ,
315,was spozed to squeeze in a quick min set 2night   nokia  stuck   work  ,
316, kross watch your back  that rabbit sounds like he has a vendetta out on you   ,
317, i wont be able to survive without our daily chat  it aint fair loveyou xx,
318,oh man oh man oh man  i miss uglyboy   in one hour it will officially be days ,
319, sounds like you re having quite the adventure    wish i was there w you ,
320,studying    i gotta study for the rest of the night    no going out for me ,
321,just played fuel on the  game sux badly      going to play wolverine again ,
322,will my year old son please stop growing   he is now officially taller than me ,
323,i need so much july and vacation    i need to go to uk and usa sooo much  ,
324,watching geekbrief  and she told me not to drive and watch  but  i wanna ,
325, discover it s trying to sync and shut down     new keyboard and we are good ,
326, makes sense now thanks for the info and sorry if i offended anyone    ,
327,street parking on fairfax   walking       michael kohn too far to walk ,
328,hahaha then why you out  is the bbq good  i want soommeee  drinking ice coffee ,
329, have fun in coronado  although the weather has been unseasonably gloomy ,
330,is laughing at devon   bhahahaha  lmao  p     all by my lonesome in my house ,
331,bored outside hate my shirt want a shortsleve want my cuz to come outside ,
332,watchin sex and the city   drowning my sorrows about the departure of bgt ,
333,working with a hangover is hell on earth for a girl who never gets them  ,
334, hey  when did  last talk to you  and how did you get on his tops and not me  ,
335,had to sit in the sun  atleast i don t get sunburns easily   instead i just tan,
336,boobies huuurt  man this seasons hurtn me   bdays grads  wheew expensivee ,
337,heard my baby is running a fever and not feeling good  wishing i was home  ,
338, yeah not sure why  they seem to have disappeared of the face of the web ,
339, leeanne sweetheart     p how have you been  we aint spoke in a while  x,
340, no podcast  we had a technical failure and couldn t save the recording ,
341,ugh  i feel stupid  and i think my little cuzin hates me with a passion ,
342, oh no    thats pants  i m very classy and having a pint  yes pint of cider ,
343, re the shoes  they are a size that s the only reason i m getting rid of them ,
344,under the weather  tired  i am just not feeling it today    atl next weekend ,
345,janneke is on a plane back to the netherlands now   this is so sad     ,
346,practice will not be cancelled due to an open top bus parade tomorrow   ,
347, oh no   i m so sorry     sarah and i hope that you and nicole are doing ok ,
348,went to the dealership   drove a door jeep   loved it     can t afford it ,
349,attack  my server is in     looks like i get to have a fun rest of the night ,
350,http   bit ly bigip  if i see one more leak  i will no longer be making roms  ,
351,right in time for the mega event  my old etrex gps gave up   projectgame,
352, love ur smile  can t watch the 1st one     quot not available on mobile quot ,
353, thats cool i really like rc it comes on too late for me tho  i m an early bird,
354,my girlfriend in i miami and its not sunny there either  follow her and say hi ,
355,http   www youtube com user jima6636   i should just do that and shut it down ,
356, oh dam  and i was just gonna book my flights and concert vip tickets   xx,
357,mowing the lawn sucks  i wish my lawn was emo so that it could cut itself ,
358,not sure if im going to the george straigt concert now    kinda bummed ,
359, asylm any pics of gen or danneel  please   i can t believe i m missing this  ,
360, gaah i doubt it     maah  i gotta go now  bullyish parentts  au revoirrr,
361,  haha what s the prize for agt anyways  just money  im sad its over haha ,
362,sponge bob has gotten so old       n gayer   i got band aids on my fingures ,
363,sitting in the waiting room   the hospital  grandma is in the cath lab  ,
364,  susan boyle didnt win  mh well  diversity was very good though  congratz  ,
365,http   okimok com people mutz   satan was present in stupid discoteque ,
366,um i can t find my social security card  i left on the table and its no there,
367,test driving  etc  dislikes  random truncation of posts  crops foto s  ,
368, you didnt come for ice cream steeeeve  i texted you and everything  not lol ,
369,i really don t wanna go back to school on monday  i actually hate it so much,
370,uhh my comp is being slow  and i think i have a cold  today is not my day,
371, lmao i was so stoked when i got  muffin  i was sad cupcake was taken tho ,
372,goin with liz to get her first tattoo  wish i had more cash to get another  ,
373, never ever change  you re so amazing     jonas for life   message me ok  ,
374,i need to do my ict prep stuff to take into the exam    arghhh  i hate gcse s ,
375,has night at the museum and up for the ds    but no time to play them   ,
376,why does everyone get dressed last minute  i cant find anyone to take pix ,
377, i found some old jeans i hope they still fit lol  okay text me whenever,
378,  i wish you could do it too    ps   the guy sent me the music yesterday   ,
379,it s srsly unfair how many more knitting books there are compared to crochet ,
380, yeahh  i miss sending hours on twitter a day  i m just bored on it now ,
381,my attemption to straighten my hair    probably too big to do it anyways ,
382,   no  but mom are going to ask a friend irl if he she wants to be cody,
383,  o they re not invisible  sorry i was trying to find the elements vid ,
384,i thought i saw grieco in stop  amp  shop  it wasn t grieco  i was sad  ,
385,this is boring  at home without parents and without being able to do anything  ,
386,hates when she feels like this   grief is the worse thing ever to live with ,
387, can t wait to hear the album   i got sunburnt  proper hurts  aston  l  lu x x,
388,we ve got    amp    amp   tweeted 2day but  went dance amp never came back ,
389,if i ll die tomorrow  i would like to write  all of you about me on twitter    ,
390,mmm   i just woke up from a very nice nap  unfortunatly my head still hurts ,
391,headache from redbull and cigarettes  long day already  someone save me ,
392,still at the mac store    got my phone swapped  wont do a white one tho ,
393,seriously  the burn ban is gone cause we got some rain but now i cant breathe ,
394, where d you get the strawberries   farms up here are saying more weeks    ,
395, awwwww  sorry dear if i had food  i d give you some  want some chicken ,
396, i ve been like that all day   i don t quite know what to do with myself ,
397,wishes he wasn t at work when bgt was on   but doesn t like the result  ,
398,beverly center here i come to shop away   need dress for awards tomorrow ,
399,uggh parents are having a murdermystery party and i have to be the cop n  ,
400,right now i am thinking i may not be bad as other  but i still need help    ,
401,why is it so cloudy in almost june    it s california  it s nvr cloudy ,
402, lol  i hate when my iphone doesn t catch some of my spelling mistakes ,
403,depressing realization thanks to   i haven t laughed since i was in boston ,
404,light on  window open   at least a bazillion flying bugs around my screen ,
405,daughter had first pony ride today   i wasn t expecting it hence no pics   ,
406, lennonator nope i forgot to put it on  would have been a nice    too   ,
407,i love my zune but hate being chained to this unstable  unreliable win pc ,
408,still trying to find that download link for  quot echo quot     i want it ,
409,nokogiri gem is the nightmare on windows and ruby 9  fuck  i need use webrat  ,
410,chem exam monday  why did i ever decide to take honors   i m going to die  ,
411,my exam got p0stponed  nw i just have pr0jects 2do in 1day    why me    ,
412, lame lol  ha ha ha j leno is leaving from the tonight show  anyways guess wat,
413,looking for cruises and failing  it seems i will never be meant to travel ,
414,just dropped my son off at his 8th grade dance  when did he get sooooo big  ,
415, i m with you  had a jelly babies incident earlier  neither big nor clever ,
416, your welcome  had a great day too  my arms are burning though fail    ,
417,just got hit in the head hard by my sister she threw a starburst at me ,
418,just killed my phone  water damage     i hope when the battery drys it is okay ,
419,my poor baby is still super sick  he s having chills too  it s scary   ,
420,traffic at the border is a killer       looks like this will be an hour wait ,
421,how on earth is windsor  amp  newton s  burnt sienna ink  so dam orange   ,
422,see to be the pied piper of all things that can poop on you while in motion ,
423, i can t believe my fave   honey bunches of oats   isn t on that list   ,
424,hopped over to a bird to say hello but every time i got near it just flew off ,
425, i have no clue  they were a gift originally   a high    had mated too   ,
426, idk  i ve been here  where were you  ps  totally forgot about football ,
427,back home  heading foo bed right now  gotta work in about hours or sumthin  ,
428,i m bored  mother i d appreciate if you let me go to the next door party ,
429,  no  erika was too sick  and i didn t want to go alone   how did you do ,
430,driving to my make shift birthday party  not too excited about it anymore  ,
431,to the middle of my frustrated fearssssssssssssssssssssss   im so boredd ,
432,wishing the rest of my friends knew how to use twitter   i have no followers ,
433, hehe they talked little bit about bb9  and mainly about the other series ,
434, i don t see daily  i see you  quick  stacy and a few ohters  but no daily ,
435, tattoos for me    hhmmmmm     i dont think im brave enough  lol  it ll hurt ,
436, i have a graduation party to attend    i cant  but i wanted to go so badly ,
437,at the mall   i dont get to look for anything tho   my moms buying rugs,
438, kram  let me take a wild guess and say you wanted to see drag me to hell  ,
439,susan boyle lost  on a brighter note   i just bought a ping pong table ,
440,susan boyle came in 2nd on britain s got talent    i was hoping she would win ,
441, i d be happy to be your date  but i m afraid the atlantic ocean protested   ,
442,f ckkkk i forgot i definitely wanted to watch the game tonight ima miss it  ,
443,why is it always sooo cold in maine    it feels like i am going to die ughh,
444,the weather is amazing right now  hail storm  i have a killer headache though ,
445,  yah that sucks   i m so broke right now  the recession is real  haaaa   ,
446,aww sister time  finally patty comes  savannah stole my princess necklace ,
447, sometimes i dont feel like it either and im dont always follow thru    ,
448,http   twitpic com 6amxp   phillies game  very very top  i m scared of heights ,
449, with the rents  and i am the designated river   going home in an hour or so ,
450,sometimes it sucks to be right   well done chelsea though  pleased for guus,
451,ima try and sleep after family guy  will prob fail again like last night ,
452,sooo ready for this movie  i must be a bad date b c he always rejects me ,
453,damn  my mood ring is getting that browny hue in the middle again  ahh  ,
454, it is such a pity the exchange rate has rocketed     now was    last year ,
455,wish i could go to try and meet jls again tomorrow  oh well  another time ,
456, hope you are all having a lovely time off but miss hearing from you all ,
457, aw  i wanted to go on the simpsons ride when i was in orlando    never got to ,
458, on average mine s 300kb s  gt    why is the broadband in the uk so shit  ,
459,wats gd twitter   istill cant believe diversity won bgt flawless shoulda won ,
460,is in some serious pain  being a girl sucks sometimes    ouch            ,
461,summer time isn t here  but here s my take on summer  http   bit ly 19h05j,
462, wow never heard the script on the radio b4  they should be more famous   ,
463,my first try on omegle and i m talking to the most boring man in the world ,
464,i m afraid sonia sotomayor might need to make a decision while menstruating  ,
